entryId,category,refId,rpCost,saleRpCost,sortOrder,popular,offer,rarity,startAt,endAt,saleStartAt,saleEndAt,quantity,is_active,rotationId
shop_club_iron9_klyro,club,club_iron9_klyro,200,150,10,true,true,,,,,,,true,
shop_club_awedge_fyloe,club,club_awedge_fyloe,400,300,20,true,false,,,,,,,true,
shop_club_pwedge_royal,club,club_pwedge_royal,600,,30,false,false,,,,,,,true,
shop_club_driver_gf,club,club_driver_gf,100,80,40,false,true,,,,,,,true,
shop_ball_putt_ace,ball,ball_putt_ace,50,35,50,false,true,Rare,,,,,,true,
shop_char_mike,character,char_mike,150,,60,false,false,,,,,,,true,
shop_item_repairkit_common,item,repairkit_common,75,,70,false,false,,,,,,,true,
shop_ticket_standard_50,ticket,0,100,,80,false,false,,,,,,50,false,
shop_wk_2026_38_ball_ace_attire,ball,ball_ace_attire,30,,503,false,false,Common,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_ball_clover_pro,ball,ball_clover_pro,60,,402,false,false,Uncommon,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_ball_putt_ace,ball,ball_putt_ace,120,,302,false,false,Rare,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_char_mike,character,char_mike,200,,504,false,false,Common,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_awedge_bogeyb_rare,club,club_awedge_bogeyb_rare,400,,301,false,false,Rare,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_driver_bogeyb_common,club,club_driver_bogeyb_common,100,,501,false,false,Common,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_driver_bogeyb_legendary,club,club_driver_bogeyb_legendary,1500,,100,false,false,Legendary,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_iron_bogeyb_rare,club,club_iron_bogeyb_rare,400,,300,false,false,Rare,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_putter_bogeyb_common,club,club_putter_bogeyb_common,100,,500,false,false,Common,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_pwedge_bogeyb_uncommon,club,club_pwedge_bogeyb_uncommon,200,,400,false,false,Uncommon,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_swedge_bogeyb_uncommon,club,club_swedge_bogeyb_uncommon,200,,401,false,false,Uncommon,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_wood_bogeyb_common,club,club_wood_bogeyb_common,100,,502,false,false,Common,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_38_club_wood_bogeyb_mythic,club,club_wood_bogeyb_mythic,800,,200,false,false,Mythic,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,,,,true,wk_2026_38
shop_wk_2026_36_ball_par_perfect,ball,ball_par_perfect,30,,501,false,false,Common,2026-09-11T03:16:35Z,2026-09-11T03:36:35Z,,,,false,wk_2026_36
shop_wk_2026_36_club_driver_klyro_common,club,club_driver_klyro_common,100,,500,false,false,Common,2026-09-11T03:16:35Z,2026-09-11T03:36:35Z,,,,false,wk_2026_36
shop_wk_2026_37_ball_fyloe_soft,ball,ball_fyloe_soft,30,,501,false,false,Common,2026-09-11T03:36:35Z,2026-09-11T04:06:35Z,,,,false,wk_2026_37
shop_wk_2026_37_club_wood_golfin_common,club,club_wood_golfin_common,100,,500,false,false,Common,2026-09-11T03:36:35Z,2026-09-11T04:06:35Z,,,,false,wk_2026_37
